code,alt_code,description_lc
S82.50,S8250,fracture of medial malleolus
S82.51,S8251,fracture of medial malleolus
S82.6,S826,fracture of lateral malleolus
S82.60,S8260,fracture of lateral malleolus
S82.61,S8261,fracture of lateral malleolus
S82.7,S827,multiple fractures of lower leg
S82.70,S8270,multiple fractures of lower leg
S82.71,S8271,multiple fractures of lower leg
S82.8,S828,fractures of other parts of lower leg
S82.80,S8280,fractures of other parts of lower leg
S82.81,S8281,fractures of other parts of lower leg
S82.9,S829,"fracture of lower leg, part unspecified"
S82.90,S8290,"fracture of lower leg, part unspecified"
S82.91,S8291,"fracture of lower leg, part unspecified"
S92,S92,"fracture of foot, except ankle"
S92.0,S920,fracture of calcaneus
S92.00,S9200,fracture of calcaneus
S92.01,S9201,fracture of calcaneus
S92.1,S921,fracture of talus
S92.10,S9210,fracture of talus
S92.11,S9211,fracture of talus
S92.2,S922,fracture of other tarsal bone(s)
S92.20,S9220,fracture of other tarsal bone(s)
S92.21,S9221,fracture of other tarsal bone(s)
S92.3,S923,fracture of metatarsal bone
S92.30,S9230,fracture of metatarsal bone
S92.31,S9231,fracture of metatarsal bone
S92.4,S924,fracture of great toe
S92.40,S9240,fracture of great toe
S92.41,S9241,fracture of great toe
S92.5,S925,fracture of other toe
S92.50,S9250,fracture of other toe
S92.51,S9251,fracture of other toe
S92.7,S927,multiple fractures of foot
S92.70,S9270,multiple fractures of foot
S92.71,S9271,multiple fractures of foot
S92.9,S929,"fracture of foot, unspecified"
S92.90,S9290,"fracture of foot, unspecified"
S92.91,S9291,"fracture of foot, unspecified"
