prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
45265,6,75714020,Doxazosin sr 4mg Tablet (Generics (UK) Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),May 2011
47807,774,77113020,Doxazosin xl 4mg Tablet (Hillcross Pharmaceuticals Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),September 2012
53033,0,00008020,Doxzogen XL 4mg tablets (Mylan),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),January 2013
19566,201,!3295102,HYPOVASE,,,,,00000000,Unknown,February 2009
1292,33668,49881020,Hypovase 1mg tablets (Pfizer Ltd),Prazosin hydrochloride,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
5183,34622,49882020,Hypovase 2mg tablets (Pfizer Ltd),Prazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
4111,22884,49880020,Hypovase 500microgram tablets (Pfizer Ltd),Prazosin hydrochloride,500microgram,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
8198,9906,49886020,Hypovase 5mg Tablet (Pfizer Ltd),Prazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
24211,0,!3296101,HYPOVASE B.D. STARTER PACK,,,,,00000000,Unknown,February 2009
8863,64,68288020,Hypovase benign prostatic hyperplasia 1mg Tablet (Pfizer Ltd),Prazosin hydrochloride,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
