prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,steroid_code,steroid_code2,aap_code,lld_code,lld_code2
82406,20505911000001100,41335020,0,Fenofibrate micronised 160mg tablets (Alliance Healthcare (Distribution) Ltd),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,January 2021,0,0,0,1,0
18098,236245001000027100,87159020,359,Nicotinic acid 375mg + 500mg + 750mg Modified-release tablet,Nicotinic Acid,375mg + 500mg + 750mg,Modified-Release Tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
19938,158115001000027100,69074020,240,Colestipol with aspartame granules,Colestipol Hydrochloride,,Granules,Oral,02120100,Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
71016,19713211000001104,38516020,0,Ciprofibrate 100mg tablets (DE Pharmaceuticals),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,December 2017,0,0,0,1,0
29328,527311000001109,61271020,23,Bezafibrate 200mg tablets (A A H Pharmaceuticals Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
72092,21979611000001104,47198020,0,Fenofibrate micronised 160mg tablets (Waymade Healthcare Plc),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,May 2018,0,0,0,1,0
82512,16564011000001108,10715020,48,Niaspan 750mg modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,750mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021,0,0,0,1,0
84669,8755001000027109,49100020,2,Nicotinic acid 50mg Tablet (Approved Prescription Services Ltd),Nicotinic acid,50mg,Tablet,Oral,02120500,Nicotinic Acid Group,October 2021,0,0,0,1,0
17614,880511000001105,84417020,505,Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
11976,4993311000001109,87153020,7221,Niaspan 500mg modified-release tablets (Abbott Laboratories Ltd),Nicotinic acid,500mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
78284,30841911000001104,60216021,52,Praluent 150mg/1ml solution for injection pre-filled pens (Sanofi Consumer Healthcare),Alirocumab,150mg/1ml,Solution for injection,Subcutaneous,02120700,Other Lipid-Regulating Products,November 2019,0,0,0,0,1
65572,20411211000001104,41334020,0,Fenofibrate micronised 160mg tablets (Genus Pharmaceuticals Ltd),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,February 2016,0,0,0,1,0
61087,17426411000001106,11244020,0,Questran Light 4g oral powder sachets (Mawdsley-Brooks & Company Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,September 2014,0,0,0,1,0
184,319940007,64207020,223234,Bezafibrate 200mg tablets,Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
73385,2953111000001108,02438020,119,Fenofibrate micronised 200mg capsules (Kent Pharma (UK) Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,October 2018,0,0,0,1,0
82529,17567911000001102,02448020,144,Lipantil Micro 200 capsules (Sigma Pharmaceuticals Plc),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,January 2021,0,0,0,1,0
39420,349711000001104,96391020,120941,Bezalip Mono 400mg modified-release tablets (Teva UK Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,April 2009,0,0,0,1,0
40885,15914911000001100,95585020,1743,Nicotinic acid 1g / Laropiprant 20mg modified-release tablets,Nicotinic acid/Laropiprant,1gram + 20mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,December 2009,0,0,0,1,0
5390,319992003,86191020,237504,Fenofibrate micronised 267mg capsules,Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
6155,215575001000027100,81028020,190,Colestyramine with aspartame 4g sugar free powder,Colestyramine Anhydrous,4g,Powder Sugar-Free,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
4062,389111000001109,58845020,11154,Lopid 600mg tablets (Pfizer Ltd),Gemfibrozil,600mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
60788,10138711000001106,72640020,0,Fenofibrate micronised 267mg capsules (Zentiva Pharma UK Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,August 2014,0,0,0,1,0
1324,66515001000027104,56377020,40388,Bezalip 200mg Tablet (Roche Products Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
79242,16184011000001104,76996020,0,Fenofibrate micronised 67mg capsules (A A H Pharmaceuticals Ltd),Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,December 2019,0,0,0,1,0
73491,10639311000001102,73243020,148,Fenofibrate micronised 267mg capsules (A A H Pharmaceuticals Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,October 2018,0,0,0,1,0
40729,15871411000001108,97431020,3646,Tredaptive 1000mg/20mg modified-release tablets (Organon Pharma (UK) Ltd),Nicotinic acid/Laropiprant,1gram + 20mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,November 2009,0,0,0,1,0
34277,646111000001100,56740020,107,Gemfibrozil 600mg tablets (Teva UK Ltd),Gemfibrozil,600mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
88477,38905011000001104,95328021,0,Fenofibrate micronised 267mg capsules (Medihealth (Northern) Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,July 2023,0,0,0,1,0
3318,319966005,62908020,32297,Gemfibrozil 300mg capsules,Gemfibrozil,300mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
67329,13922411000001100,02461020,36,Lipantil Micro 267 capsules (DE Pharmaceuticals),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,August 2016,0,0,0,1,0
86312,17299611000001108,77452020,0,Fenofibrate micronised 67mg capsules (Teva UK Ltd),Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,July 2022,0,0,0,1,0
3159,9843611000001100,70568020,32779,Fenofibrate 200mg capsules,Fenofibrate,200mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
83810,92135001000027100,59701020,30,Colestyramine 4g/sachet Sachets (Genus Pharmaceuticals Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,May 2021,0,0,0,1,0
2435,168605001000027100,70563020,9616,Lipantil 100mg Capsule (Fournier Pharmaceuticals Ltd),Fenofibrate,100mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
1214,66525001000027104,56378020,204491,Bezalip 400mg Tablet (Roche Products Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
5216,32685001000027104,52058020,130537,Bezalip mono 400mg Modified-release tablet (Roche Products Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
5564,157065001000027100,68877020,5939,Colestid Orange sachets (Pharmacia Ltd),Colestipol Hydrochloride,,Orange Sachets,Oral,02120100,Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
63737,15084211000001100,02462020,0,Fenofibrate micronised 267mg capsules (Sigma Pharmaceuticals Plc),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,July 2015,0,0,0,1,0
66425,29558611000001108,49069021,34,Bezafibrate 400mg modified-release tablets (A A H Pharmaceuticals Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,June 2016,0,0,0,1,0
18081,4083711000001101,87334020,2373,Colestid Orange 5g granules sachets (Pfizer Ltd),Colestipol hydrochloride,5gram,Granules,Oral,02120100,Bile Acid Sequestrants - Lipid-Regulating Products,February 2009,0,0,0,1,0
12211,41987111000001104,55690020,7644,Nicotinic acid 50mg tablets,Nicotinic acid,50mg,Tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
4920,319988005,86192020,312943,Fenofibrate micronised 200mg capsules,Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
57219,4579711000001108,68534020,29,Fenofibrate micronised 200mg capsules (Sandoz Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,September 2013,0,0,0,1,0
17824,61405001000027104,55689020,267,Nicotinic acid 25mg Tablet,Nicotinic Acid,25mg,Tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
