prodcode,productname,review,dmdcode,therapyevents,bnftext
7573,IMIPRAMINE 25 MG CAP,Yes,144435001000027100,1662,Unknown
1809,Imipramine 25mg tablets,Yes,321817005,643859,Tricyclic And Related Antidepressants/Nocturnal Enuresis
34813,Imipramine 25mg tablets (A A H Pharmaceuticals Ltd),Yes,569911000001107,75,Tricyclic And Related Antidepressants/Nocturnal Enuresis
34355,Imipramine 25mg tablets (Accord-UK Ltd),Yes,572011000001105,376,Tricyclic And Related Antidepressants/Nocturnal Enuresis
41408,Imipramine 25mg tablets (Teva UK Ltd),Yes,8151111000001102,42,Tricyclic And Related Antidepressants/Nocturnal Enuresis
8055,Imipramine 25mg/5ml oral solution,Yes,36046511000001104,16144,Unknown
42247,Imipramine 25mg/5ml oral solution sugar free,Yes,16423411000001100,1017,Tricyclic And Related Antidepressants/Nocturnal Enuresis
7784,IMIPRAMINE 50 MG TAB,Yes,144415001000027100,381,Unknown
10649,IMIPRAMINE 75 MG TAB,Yes,144465001000027100,221,Unknown
27476,Iprindole hc 15mg,Yes,118645001000027100,141,Tricyclic And Related Antidepressants
41731,Isocarboxazid 10mg Tablet (Cambridge Laboratories Ltd),Yes,88325001000027100,29,Monoamine-Oxidase Inhibitors (MAOI)
12207,Isocarboxazid 10mg tablets,Yes,321908006,10827,Monoamine-Oxidase Inhibitors (MAOI)
2486,Lentizol 25mg modified-release capsules (Pfizer Ltd),Yes,4534311000001106,35653,Unknown
2985,Lentizol 50mg modified-release capsules (Pfizer Ltd),Yes,4533611000001104,35379,Unknown
11963,Limbitrol 10 Capsule (Roche Products Ltd),Yes,53015001000027104,678,Tricyclic And Related Antidepressants
20715,LIMBITROL 5,Yes,NA,10,Unknown
14534,Limbitrol 5 Capsule (Roche Products Ltd),Yes,17285001000027104,1916,Tricyclic And Related Antidepressants
41627,Lofepramine 70mg Tablet (Teva UK Ltd),Yes,89015001000027100,67,Tricyclic And Related Antidepressants
114,Lofepramine 70mg tablets,Yes,39699211000001104,1624748,Tricyclic And Related Antidepressants
34046,Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd),Yes,493911000001102,1340,Tricyclic And Related Antidepressants
34950,Lofepramine 70mg tablets (Accord-UK Ltd),Yes,555511000001106,509,Tricyclic And Related Antidepressants
34578,Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd),Yes,686911000001105,362,Tricyclic And Related Antidepressants
67742,Lofepramine 70mg tablets (Viatris UK Healthcare Ltd),Yes,720011000001106,35,Tricyclic And Related Antidepressants
56703,Lofepramine 70mg tablets (Sandoz Ltd),Yes,7488511000001102,18,Tricyclic And Related Antidepressants
60591,Lofepramine 70mg tablets (Teva UK Ltd),Yes,113011000001101,34,Tricyclic And Related Antidepressants
56229,Lofepramine 70mg/5ml oral solution,Yes,12812711000001104,23,Tricyclic And Related Antidepressants
43534,Lofepramine 70mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd),Yes,60955001000027110,11,Tricyclic And Related Antidepressants
4218,Lofepramine 70mg/5ml oral suspension sugar free,Yes,36040411000001104,14644,Tricyclic And Related Antidepressants
25444,Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd),Yes,4071311000001107,98,Tricyclic And Related Antidepressants
3353,L-TRYPTOPHAN 500 MG CAP,Yes,1915001000027100,676,Unknown
4352,Lustral 100mg tablets (Viatris UK Healthcare Ltd),SSRI,687611000001102,71202,Selective Serotonin Re-Uptake Inhibitors (SSRI)
77385,Lustral 50mg tablets (DE Pharmaceuticals),SSRI,13927211000001100,566,Selective Serotonin Re-Uptake Inhibitors (SSRI)
1612,Lustral 50mg tablets (Viatris UK Healthcare Ltd),SSRI,936411000001108,213769,Selective Serotonin Re-Uptake Inhibitors (SSRI)
9206,Manerix 150mg tablets (Viatris UK Healthcare Ltd),Yes,538111000001106,10015,Reversible Monoamine-Oxidase Inhibitors
5832,Manerix 300mg tablets (Viatris UK Healthcare Ltd),Yes,48311000001107,1856,Reversible Monoamine-Oxidase Inhibitors
12503,Marplan 10mg Tablet (Cambridge Laboratories Ltd),Yes,18065001000027104,4871,Monoamine-Oxidase Inhibitors (MAOI)
18290,Marsilid 25mg Tablet (Roche Products Ltd),Yes,18155001000027104,13,Monoamine-Oxidase Inhibitors (MAOI)
3083,Mianserin 10mg tablets,Yes,321846003,53455,Tricyclic And Related Antidepressants
4329,Mianserin 20mg tablets,Yes,321847007,21398,Unknown
6255,Mianserin 30mg tablets,Yes,321848002,72863,Tricyclic And Related Antidepressants
6421,Mirtazapine 15mg orodispersible tablets,SSRI,375194009,545012,Other Antidepressants
64101,Mirtazapine 15mg orodispersible tablets (Accord-UK Ltd),SSRI,12056111000001106,36,Other Antidepressants
43248,Mirtazapine 15mg orodispersible tablets (Advanz Pharma),SSRI,13738211000001108,27,Other Antidepressants
43237,Mirtazapine 15mg orodispersible tablets (Teva UK Ltd),SSRI,10968811000001104,706,Other Antidepressants
48698,Mirtazapine 15mg orodispersible tablets sugar free,SSRI,20345211000001104,2738,Other Antidepressants
6795,Mirtazapine 15mg tablets,SSRI,375193003,3213967,Other Antidepressants
43239,Mirtazapine 15mg tablets (A A H Pharmaceuticals Ltd),SSRI,9050811000001108,48,Other Antidepressants
59953,Mirtazapine 15mg tablets (Almus Pharmaceuticals Ltd),SSRI,17967011000001108,214,Other Antidepressants
46668,Mirtazapine 15mg tablets (Arrow Generics Ltd),SSRI,10395011000001100,15,Other Antidepressants
43257,Mirtazapine 15mg tablets (Teva UK Ltd),SSRI,13593411000001108,20,Other Antidepressants
16154,Mirtazapine 15mg/ml oral solution sugar free,SSRI,9103511000001102,15662,Other Antidepressants
47966,Mirtazapine 15mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),SSRI,9102911000001102,19,Other Antidepressants
6488,Mirtazapine 30mg orodispersible tablets,SSRI,375195005,417327,Other Antidepressants
76187,Mirtazapine 30mg orodispersible tablets (Viatris UK Healthcare Ltd),SSRI,16630411000001108,953,Other Antidepressants
79008,Mirtazapine 30mg orodispersible tablets (Teva UK Ltd),SSRI,10969211000001104,42,Other Antidepressants
742,Mirtazapine 30mg tablets,SSRI,321998002,4092148,Other Antidepressants
40160,Mirtazapine 30mg tablets (Accord-UK Ltd),SSRI,7985911000001100,259,Other Antidepressants
69005,Mirtazapine 30mg tablets (Almus Pharmaceuticals Ltd),SSRI,17968211000001104,39,Other Antidepressants
78654,Mirtazapine 30mg tablets (Milpharm Ltd),SSRI,19194411000001100,13,Other Antidepressants
63403,Mirtazapine 30mg tablets (Teva UK Ltd),SSRI,8389611000001109,21,Other Antidepressants
6481,Mirtazapine 45mg orodispersible tablets,SSRI,5627911000001100,509958,Other Antidepressants
43235,Mirtazapine 45mg orodispersible tablets (A A H Pharmaceuticals Ltd),SSRI,11255911000001108,18,Other Antidepressants
43236,Mirtazapine 45mg orodispersible tablets (Accord-UK Ltd),SSRI,12056711000001108,52,Other Antidepressants
43234,Mirtazapine 45mg orodispersible tablets (Teva UK Ltd),SSRI,10969511000001100,315,Other Antidepressants
49820,Mirtazapine 45mg orodispersible tablets sugar free,SSRI,20345311000001104,1969,Other Antidepressants
6854,Mirtazapine 45mg tablets,SSRI,375196006,2733558,Other Antidepressants
33337,Mirtazapine 45mg tablets (A A H Pharmaceuticals Ltd),SSRI,9051211000001100,167,Other Antidepressants
58625,Mirtazapine 45mg tablets (Accord-UK Ltd),SSRI,11501311000001104,28,Other Antidepressants
2883,Moclobemide 150mg tablets,Yes,321913005,66785,Reversible Monoamine-Oxidase Inhibitors
67305,Moclobemide 150mg tablets (Sigma Pharmaceuticals Plc),Yes,15232911000001100,66,Reversible Monoamine-Oxidase Inhibitors
41747,Moclobemide 150mg tablets (Teva UK Ltd),Yes,823011000001104,63,Reversible Monoamine-Oxidase Inhibitors
5187,Moclobemide 300mg tablets,Yes,321915003,30867,Reversible Monoamine-Oxidase Inhibitors
4194,Molipaxin 100mg capsules (Zentiva Pharma UK Ltd),Yes,75511000001108,24360,Tricyclic And Related Antidepressants
4003,Molipaxin 150mg tablets (Zentiva Pharma UK Ltd),Yes,1811000001101,30078,Tricyclic And Related Antidepressants
4874,Molipaxin 50mg capsules (Zentiva Pharma UK Ltd),Yes,369211000001100,46725,Tricyclic And Related Antidepressants
8174,Molipaxin 50mg/5ml oral liquid (Sanofi),Yes,3904511000001104,2954,Tricyclic And Related Antidepressants
13621,Molipaxin CR 150mg tablets (Aventis Pharma),Yes,4549511000001102,1050,Unknown
2936,Motival 10mg/500microgram tablets (Sanofi),Yes,125111000001109,100218,Unknown
3349,Nardil 15mg tablets (Neon Healthcare Ltd),Yes,32511000001104,29841,Monoamine-Oxidase Inhibitors (MAOI)
12194,NORTRIPTYLINE 10 MG ELI,Yes,166915001000027100,17,Unknown
7780,Nortriptyline 10mg / Fluphenazine 500microgram tablets,Yes,39692911000001104,17365,Unknown
4118,Nortriptyline 10mg Capsule,Yes,129985001000027100,2961,Tricyclic And Related Antidepressants/Neuropathic Pain
3183,Nortriptyline 10mg tablets,Yes,39701411000001104,571237,Tricyclic And Related Antidepressants/Nocturnal Enuresis
39145,Nortriptyline 10mg/5ml Liquid,Yes,130005001000027100,149,Tricyclic And Related Antidepressants/Neuropathic Pain
68228,Nortriptyline 10mg/5ml oral suspension,Yes,15000711000001104,23,Tricyclic And Related Antidepressants/Nocturnal Enuresis
7678,Nortriptyline 25mg Capsule,Yes,129995001000027100,4326,Tricyclic And Related Antidepressants/Neuropathic Pain
3903,Nortriptyline 25mg tablets,Yes,39701511000001110,309411,Tricyclic And Related Antidepressants/Nocturnal Enuresis
14578,Nortriptyline 30mg / Fluphenazine 1.5mg tablets,Yes,39692711000001104,1189,Unknown
69317,Nortriptyline 50mg tablets,Yes,34034111000001108,13415,Tricyclic And Related Antidepressants/Nocturnal Enuresis
12368,Norval 10mg Tablet (Bencard),Yes,21945001000027104,4450,Tricyclic And Related Antidepressants
11956,Norval 20mg Tablet (Bencard),Yes,21955001000027108,1333,Tricyclic And Related Antidepressants
12192,Norval 30mg Tablet (Bencard),Yes,21965001000027104,5436,Tricyclic And Related Antidepressants
62335,Olena 20mg dispersible tablets (Advanz Pharma),SSRI,24397511000001100,217,Selective Serotonin Re-Uptake Inhibitors (SSRI)
14740,Oxactin 20mg capsules (Discovery Pharmaceuticals),SSRI,689411000001109,60634,Selective Serotonin Re-Uptake Inhibitors (SSRI)
10787,Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd),Yes,23935001000027104,10717,Monoamine-Oxidase Inhibitors (MAOI)
35021,Paroxetine 10mg tablets,SSRI,39701911000001104,213464,Selective Serotonin Re-Uptake Inhibitors (SSRI)
59288,Paroxetine 10mg tablets (Accord-UK Ltd),SSRI,21541611000001108,39,Selective Serotonin Re-Uptake Inhibitors (SSRI)
67259,Paroxetine 10mg/5ml oral solution,SSRI,13004411000001104,110,Selective Serotonin Re-Uptake Inhibitors (SSRI)
527,Paroxetine 10mg/5ml oral suspension sugar free,SSRI,36565911000001110,91546,Selective Serotonin Re-Uptake Inhibitors (SSRI)
50,Paroxetine 20mg tablets,SSRI,321964006,4968508,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34419,Paroxetine 20mg tablets (A A H Pharmaceuticals Ltd),SSRI,570611000001104,283,Selective Serotonin Re-Uptake Inhibitors (SSRI)
32899,Paroxetine 20mg tablets (Accord-UK Ltd),SSRI,4116911000001101,441,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34351,Paroxetine 20mg tablets (IVAX Pharmaceuticals UK Ltd),SSRI,31211000001109,788,Selective Serotonin Re-Uptake Inhibitors (SSRI)
33978,Paroxetine 20mg tablets (Viatris UK Healthcare Ltd),SSRI,21811000001107,886,Selective Serotonin Re-Uptake Inhibitors (SSRI)
79383,Paroxetine 30mg Tablet (Neo Laboratories Ltd),SSRI,176465001000027100,13,Selective Serotonin Re-Uptake Inhibitors (SSRI)
1397,Paroxetine 30mg tablets,SSRI,321966008,1272795,Selective Serotonin Re-Uptake Inhibitors (SSRI)
34587,Paroxetine 30mg tablets (A A H Pharmaceuticals Ltd),SSRI,7384811000001104,49,Selective Serotonin Re-Uptake Inhibitors (SSRI)
40165,Paroxetine 30mg tablets (Accord-UK Ltd),SSRI,6330111000001108,147,Selective Serotonin Re-Uptake Inhibitors (SSRI)
68325,Paroxetine 40mg tablets,SSRI,422084009,13102,Selective Serotonin Re-Uptake Inhibitors (SSRI)
75054,Paroxetine oral liquid,SSRI,251425001000027100,133,Selective Serotonin Re-Uptake Inhibitors (SSRI)
4321,Phenelzine 15mg tablets,Yes,321902007,89043,Monoamine-Oxidase Inhibitors (MAOI)
43673,Politid XL 150mg capsules (Accord-UK Ltd),SSRI,15116511000001104,400,Other Antidepressants
41299,Politid XL 75mg capsules (Accord-UK Ltd),SSRI,15116711000001108,424,Other Antidepressants
51758,Prothiaden 25mg capsules (Stephar (U.K.) Ltd),Yes,16586411000001104,127,Tricyclic And Related Antidepressants
1169,Prothiaden 25mg capsules (Teofarma S.r.l.),Yes,208811000001101,502268,Tricyclic And Related Antidepressants
2320,Prothiaden 75mg tablets (Teofarma S.r.l.),Yes,733111000001103,599652,Tricyclic And Related Antidepressants
11187,Protriptyline 10mg tablet,Yes,138615001000027100,480,Tricyclic And Related Antidepressants/Neuropathic Pain
7756,Protriptyline 5mg tablet,Yes,138605001000027100,4220,Tricyclic And Related Antidepressants/Neuropathic Pain
60929,Protriptyline 5mg tablets,Yes,376650009,124,Tricyclic And Related Antidepressants
4149,PROTRIPTYLINE HCl 10 MG TAB,Yes,109655001000027100,2494,Unknown
77381,Prozac 20mg capsules (Dowelhurst Ltd),SSRI,5577211000001101,882,Selective Serotonin Re-Uptake Inhibitors (SSRI)
418,Prozac 20mg capsules (Eli Lilly and Company Ltd),SSRI,573011000001101,586776,Selective Serotonin Re-Uptake Inhibitors (SSRI)
48220,Prozac 20mg capsules (Lexon (UK) Ltd),SSRI,16229811000001102,3213,Selective Serotonin Re-Uptake Inhibitors (SSRI)
57532,Prozac 20mg capsules (Waymade Healthcare Plc),SSRI,5405011000001102,211,Selective Serotonin Re-Uptake Inhibitors (SSRI)
