prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
70311,816211000001107,05872020,4,Erythromycin ethyl succinate 250mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,September 2017,1
81659,28031911000001104,40622021,22,Diltiazem 180mg modified-release capsules (Ennogen Healthcare Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,September 2020,1
5348,39023611000001104,72176020,83442,Diltiazem 300mg modified-release capsules,Diltiazem hydrochloride,300mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
72091,24102211000001104,23044021,1,Diltiazem 180mg modified-release capsules (DE Pharmaceuticals),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,May 2018,1
83399,29955411000001108,52685021,0,Adizem-XL 180mg capsules (Lexon (UK) Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,April 2021,1
7628,65205001000027104,56215020,9987,Fucidin intertulle sodium fusidate Impregnated gauze dressing 10cmx10cm (LEO Pharma),Sodium Fusidate,10cm x 10cm,Impregnated Gauze Dressing,,72072000,Tulle Dressings,February 2009,1
2376,41949011000001104,60843020,154424,Erythromycin ethyl succinate 250mg/5ml oral suspension,Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
2888,762011000001102,62586020,321916,Tildiem 60mg modified-release tablets (Sanofi),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
43655,243795001000027100,91752020,1,Warfarin sodium oral solution,Warfarin Sodium,,Oral Liquid,Oral,02080200,Oral Anticoagulants,October 2010,1
12104,783511000001101,53065020,7288,Cordilox 160mg tablets (IVAX Pharmaceuticals UK Ltd),Verapamil hydrochloride,160mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
77557,17439511000001102,00871020,0,Securon SR 240mg tablets (Mawdsley-Brooks & Company Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,August 2019,1
41073,14997911000001100,96409020,1208,Ranexa 500mg modified-release tablets (A. Menarini Farmaceutica Internazionale SRL),Ranolazine,500mg,Modified-release tablet,Oral,02060300,Other Anti-Angina Products,January 2010,1
