prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
63172,28808411000001104,46601021,18728,Prednisolone 10mg tablets,Prednisolone,10mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),May 2015
41745,4852811000001108,64355020,27,Prednisolone 25mg tablets (Zentiva Pharma UK Ltd),Prednisolone,25mg,Tablet,Oral,01050200/03020000/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),March 2010
3703,68295001000027104,56623020,13410,Kenalog 80mg/2ml Intramuscular injection (E R Squibb and Sons Ltd),Triamcinolone Acetonide,80mg/2ml,Intramuscular Injection,Intramuscular Deep Injection Gluteal Muscle,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
81369,32808311000001100,69041021,1,Prednisolone 5mg tablets (Genesis Pharmaceuticals Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2020
3913,317690002,72190020,28099,Prednisolone sodium phosphate 5mg suppositories,Prednisolone sodium phosphate,5mg,Suppository,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,February 2009
62909,3290311000001101,06570020,4,Dexamethasone 2mg tablets (A A H Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,April 2015
10657,109245001000027100,62329020,68,Dexamethasone sodium phosphate 4mg/ml intra-artic injection,Dexamethasone Sodium Phosphate,4mg/ml,Intra-Articular Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
69964,317678004,41296020,47,Hydrocortisone 25mg suppositories,Hydrocortisone,25mg,Suppository,Rectal,01070200,Compound Haemorrhoid Products With Corticosteroids,July 2017
15175,3413611000001102,51212020,2490,Predenema 20mg/100ml standard tube (Forest Laboratories UK Ltd),Prednisolone sodium phosphate,200microgram/1ml,Enema,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,February 2009
37638,4888811000001103,92309020,42,Efcortesol 500mg/5ml solution for injection ampoules (Advanz Pharma),Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intramuscular/Intralesional/Intravenous,06030200,Glucocorticoid Therapy,February 2009
35175,36056911000001104,92303020,10350,Hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules,Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intralesional/Intravenous/Intramuscular,06030200,Glucocorticoid Therapy,February 2009
1063,25675001000027104,51216020,58405,Prednesol 5mg Tablet (Sovereign Medical Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
68489,376688006,70674021,4567,Dexamethasone 4mg tablets,Dexamethasone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,December 2016
64008,28798211000001104,46604021,105,Pevanti 2.5mg tablets (Advanz Pharma),Prednisolone,2.5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2015
84302,32688311000001104,68800021,1,Prednisolone 5mg/5ml oral solution unit dose (Alliance Healthcare (Distribution) Ltd),Prednisolone,1mg/1ml,Oral solution,Oral,03020000/06030200/10010201,Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2021
68166,12030411000001102,30529020,3,Fludrocortisone 20micrograms/5ml oral suspension,Fludrocortisone acetate,4microgram/1ml,Oral suspension,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,November 2016
15555,4051611000001104,64590020,2449,Medrone 4mg tablets (Pfizer Ltd),Methylprednisolone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,February 2009
78839,33037911000001104,70319021,1,Deflazacort 22.75mg/1ml oral suspension,Deflazacort,22.75mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,November 2019
33131,35921911000001108,91316020,1771,Triamcinolone acetonide 80mg/2ml suspension for injection pre-filled syringes,Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intramuscular,00000000,Unknown,February 2009
86891,15410611000001104,36233020,1,Fludrocortisone 30microgram capsules,Fludrocortisone acetate,30microgram,Capsule,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,October 2022
82367,18625211000001108,06614020,0,Prednisolone 5mg tablets (Phoenix Healthcare Distribution Ltd),Prednisolone,5mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),January 2021
53313,13079411000001100,33911020,13,Prednisolone 20mg/5ml oral suspension,Prednisolone,4mg/1ml,Oral suspension,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission,January 2013
14076,201505001000027100,76613020,3039,Hydrocortisone 5mg/5ml Oral solution,Hydrocortisone,5mg/5ml,Oral Solution,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,February 2009
34660,707911000001100,65523020,34,Prednisolone 1mg tablets (Kent Pharma (UK) Ltd),Prednisolone,1mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),February 2009
66327,13661911000001108,75402020,1,Hydrocortisone 20mg tablets (Accord-UK Ltd),Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,June 2016
5529,3335211000001102,57083020,37425,Cinchocaine 5mg / Hydrocortisone 5mg suppositories,Cinchocaine hydrochloride/Hydrocortisone,5mg + 5mg,Suppository,Rectal,01070200,Compound Haemorrhoid Products With Corticosteroids,February 2009
75680,145015001000027100,67187020,2,Triamcinolone with neomycin and undecylenic acid Cream,Neomycin/Triamcinolone Acetonide,,Cream,,13040400/13100101,Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically,April 2019
21540,4179311000001102,56344020,77,Solu-Medrone 500mg powder and solvent for solution for injection vials (Pfizer Ltd),Methylprednisolone sodium succinate,500mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
4233,109225001000027100,62327020,2362,Dexamethasone sodium phosphate 4mg/ml injection,Dexamethasone Sodium Phosphate,4mg/ml,Injection,Subcutaneous Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
78307,19792911000001108,38989020,1,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,00000000,Unknown,November 2019
77760,34172711000001104,75132021,17,Prednisolone 5mg soluble tablets (Phoenix Labs Ltd),Prednisolone sodium phosphate,5mg,Soluble tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2019
84738,90475001000027100,59484020,4,Prednisolone 2.5mg Gastro-resistant tablet (Lagap),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,06030200,Glucocorticoid Therapy,October 2021
31327,137775001000027100,66166020,14,Prednisolone steaglate 6.65mg tablet,Prednisolone Steaglate,6.65mg,Tablets,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,February 2009
74156,8452111000001106,19683020,3,Dexamethasone 2.5mg/5ml oral solution,Dexamethasone,500microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,December 2018
28215,9154711000001100,71642020,23,Dexamethasone 100mg/5ml solution for injection vials,Dexamethasone sodium phosphate,20mg/1ml,Solution for injection,Intravenous,06030200,Glucocorticoid Therapy,February 2009
3345,28475001000027104,51562020,305,Sintisone Tablet (Pharmacia Ltd),Prednisolone Steaglate,,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,February 2009
77729,36903811000001104,86779021,68,Fludrocortisone 50microgram tablets,Fludrocortisone acetate,50microgram,Tablet,Oral,06030100,Replacement Corticosteroids For Endocrine Conditions,August 2019
