prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,ap_code
41512,295211000001106,59216020,5442,Aspirin 75mg gastro-resistant tablets (Teva UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,March 2010,1
34,319781007,52995020,11729827,Aspirin 75mg gastro-resistant tablets,Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
46976,477911000001102,65447020,1,Dipyridamole 100mg tablets (Kent Pharma (UK) Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,March 2012,1
53178,16431611000001104,76832020,361,Aspirin 75mg gastro-resistant tablets (Wockhardt UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,January 2013,1
83747,36870711000001104,86474021,58,Clopidogrel 75mg tablets (Torrent Pharma (UK) Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,April 2021,1
22138,167825001000027100,70461020,121,Aspirin 324mg modified-release tablets,Aspirin,324mg,Modified Release Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
64222,8455811000001106,19755020,138,Dipyridamole 50mg/5ml oral solution,Dipyridamole,10mg/1ml,Oral solution,Oral,02090000,Antiplatelet Products,September 2015,1
77617,8816311000001106,21001020,1,Clopidogrel 75mg oral powder sachets,Clopidogrel hydrogen sulfate,75mg,Powder,Oral,02090000,Antiplatelet Products,August 2019,1
56883,21777311000001108,47189020,21,Aspirin 75mg tablets (Waymade Healthcare Plc),Aspirin,75mg,Tablet,Oral,02090000,Antiplatelet Products,August 2013,1
75591,93515001000027100,59905020,1,Aspirin 300mg Tablet (Galpharm International Ltd),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,April 2019,1
40144,23885001000027104,51004020,2,Aspirin 300mg Dispersible tablet (Thornton & Ross Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,August 2009,1
45851,59045001000027104,55399020,19,Aspirin 300mg Soluble tablet (Ranbaxy (UK) Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,August 2011,1
30975,194965001000027100,74843020,1,Modaplate 25mg Tablet (Berk Pharmaceuticals Ltd),Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
52618,15985111000001104,02347020,13,Aspirin 75mg dispersible tablets (Bristol Laboratories Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,January 2013,1
33293,370411000001104,62271020,1,Aspirin 75mg gastro-resistant tablets (Sterwin Medicines),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
62855,15927711000001100,02375020,3,Clopidogrel 75mg tablets (Alliance Healthcare (Distribution) Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,April 2015,1
2628,22135001000027108,50797020,116579,Nu-seals aspirin ec 75mg Gastro-resistant tablet (Eli Lilly and Company Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
63450,21643011000001108,46327020,1,Clopidogrel 75mg tablets (Almus Pharmaceuticals Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,June 2015,1
