prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,steroid_code,steroid_code2,aap_code
1320,321589009,53727020,963044,Risperidone 1mg tablets,Risperidone,1mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
44326,17689811000001108,98875020,2026,Seroquel XL 150mg tablets (Luye Pharma Ltd),Quetiapine fumarate,150mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,January 2011,0,0,1
38912,426802009,94789020,97511,Quetiapine 200mg modified-release tablets,Quetiapine fumarate,200mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
46435,19210911000001100,99855020,1914,Xeplion 150mg/1.5ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Paliperidone palmitate,100mg/1ml,Prolonged-release suspension for injection,Intramuscular,04020200,Antipsychotic Depot Injections,November 2011,0,0,1
40932,14018711000001108,97205020,1387,Quetiapine 100mg/5ml oral suspension,Quetiapine fumarate,20mg/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,December 2009,0,0,1
40586,418754000,97145020,471,Clozapine 50mg tablets,Clozapine,50mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,October 2009,0,0,1
63255,18466411000001108,03443020,8,Risperidone 1mg tablets (Accord-UK Ltd),Risperidone,1mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,May 2015,0,0,1
41714,7835111000001103,68217020,155,Amisulpride 50mg tablets (Zentiva Pharma UK Ltd),Amisulpride,50mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,March 2010,0,0,1
46705,13451111000001100,94973020,0,Abilify 9.75mg/1.3ml solution for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd),Aripiprazole,7.5mg/1ml,Solution for injection,Intramuscular,04020102,Second-Generation Antipsychotic Drugs,January 2012,0,0,1
87786,35135811000001100,79516021,0,Aripiprazole 30mg tablets (Milpharm Ltd),Aripiprazole,30mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,March 2023,0,0,1
55622,19626711000001104,38414020,19977,Olanzapine 10mg orodispersible tablets,Olanzapine,10mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,June 2013,0,0,1
18024,467011000001109,83397020,8099,Zyprexa 5mg tablets (Eli Lilly and Company Ltd),Olanzapine,5mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2009,0,0,1
51178,15452111000001102,36328020,225,Quetiapine 50mg/5ml oral suspension,Quetiapine fumarate,10mg/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,January 2013,0,0,1
76775,36905011000001104,86799021,57,Olanzapine 2.5mg orodispersible tablets sugar free,Olanzapine,2.5mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,July 2019,0,0,1
77098,23562011000001108,20183021,273,Risperidone 2mg tablets (Dexcel-Pharma Ltd),Risperidone,2mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2019,0,0,1
73439,13012111000001106,33608020,1,Quetiapine 150mg/5ml oral suspension,Quetiapine fumarate,30mg/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,October 2018,0,0,1
5039,321625005,85204020,809431,Quetiapine 100mg tablets,Quetiapine fumarate,100mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
74864,19623311000001104,78323020,32,Olanzapine 15mg orodispersible tablets (Teva UK Ltd),Olanzapine,15mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2019,0,0,1
74855,19624211000001108,78326020,47,Olanzapine 20mg orodispersible tablets (Teva UK Ltd),Olanzapine,20mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2019,0,0,1
79911,19587711000001108,03583020,3,Zalasta 2.5mg tablets (Krka UK Ltd),Olanzapine,2.5mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2020,0,0,1
41428,15505711000001104,97151020,83,Denzapine 200mg tablets (Britannia Pharmaceuticals Ltd),Clozapine,200mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,March 2010,0,0,1
82933,39027411000001104,95965021,467,Quetiapine 600mg modified-release tablets,Quetiapine fumarate,600mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,January 2021,0,0,1
77076,13095611000001106,10467020,3,Abilify 5mg tablets (Dowelhurst Ltd),Aripiprazole,5mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2019,0,0,1
85272,38743011000001110,94338021,0,Risperidone 250microgram tablets (Alliance Healthcare (Distribution) Ltd),Risperidone,250microgram,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,December 2021,0,0,1
47103,19609311000001104,00723021,2501,Olanzapine 15mg orodispersible tablets sugar free,Olanzapine,15mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,May 2012,0,0,1
51444,10982511000001108,13768020,0,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc),Risperidone,50mg,Powder and solvent for suspension for injection,Intramuscular,04020102,Second-Generation Antipsychotic Drugs,January 2013,0,0,1
64210,26655011000001108,31249021,112,Latuda 74mg tablets (CNX Therapeutics Ltd),Lurasidone hydrochloride,74mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,September 2015,0,0,1
75650,33569011000001100,70703021,223,Brancico XL 200mg tablets (Zentiva Pharma UK Ltd),Quetiapine fumarate,200mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,April 2019,0,0,1
78807,20009711000001104,40164020,7,Olanzapine 5mg orodispersible tablets (A A H Pharmaceuticals Ltd),Olanzapine,5mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,November 2019,0,0,1
79313,32878911000001108,69848021,18,Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,Paliperidone palmitate,200mg/1ml,Prolonged-release suspension for injection,Intramuscular,04020200,Antipsychotic Depot Injections,December 2019,0,0,1
38885,14042811000001104,94787020,205868,Quetiapine 50mg modified-release tablets,Quetiapine fumarate,50mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
50214,19627011000001108,38420020,18815,Olanzapine 5mg orodispersible tablets,Olanzapine,5mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,January 2013,0,0,1
84320,35611811000001108,81701021,6,Risperidone 250micrograms/5ml oral suspension,Risperidone,50microgram/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,August 2021,0,0,1
63364,28411911000001108,44296021,17556,Zaluron XL 200mg tablets (Fontus Health Ltd),Quetiapine fumarate,200mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,June 2015,0,0,1
77484,20365611000001108,41358020,0,Quetiapine 25mg tablets (A A H Pharmaceuticals Ltd),Quetiapine fumarate,25mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,August 2019,0,0,1
66255,27842411000001104,31405021,14,Atrolak XL 200mg tablets (Accord-UK Ltd),Quetiapine fumarate,200mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,June 2016,0,0,1
55625,8277511000001100,18970020,10,Amisulpride 50mg/5ml oral suspension,Amisulpride,10mg/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,June 2013,0,0,1
51558,13466211000001108,35010020,3,Amisulpride 12.5mg/5ml oral suspension,Amisulpride,2.5mg/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,January 2013,0,0,1
81233,37697711000001104,89967021,1,Clozapine 12.5mg orodispersible tablets sugar free,Clozapine,12.5mg,Orodispersible tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2020,0,0,1
81234,35179311000001108,79767021,19,Quetiapine 200mg tablets (Milpharm Ltd),Quetiapine fumarate,200mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2020,0,0,1
47256,321622008,00713021,981,Olanzapine 5mg oral lyophilisates sugar free,Olanzapine,5mg,Oral lyophilisate,Oral,00000000,Unknown,May 2012,0,0,1
61103,3434911000001100,38389020,557,Olanzapine 15mg oral lyophilisates sugar free,Olanzapine,15mg,Oral lyophilisate,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,September 2014,0,0,1
53556,321623003,38834020,2338,Olanzapine 10mg oral lyophilisates sugar free,Olanzapine,10mg,Oral lyophilisate,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,January 2013,0,0,1
38914,14025311000001108,95789020,6727,Seroquel XL 200mg tablets (Luye Pharma Ltd),Quetiapine fumarate,200mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
88460,33566911000001104,70700021,0,Aripiprazole 1mg/ml oral solution (Alliance Healthcare (Distribution) Ltd),Aripiprazole,1mg/1ml,Oral solution,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2023,0,0,1
70313,30082811000001100,53394021,1,Quetiapine 100mg tablets (DE Pharmaceuticals),Quetiapine fumarate,100mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,September 2017,0,0,1
56215,15452011000001104,36326020,101,Quetiapine 50mg/5ml oral solution,Quetiapine fumarate,10mg/1ml,Oral solution,Oral,04020102,Second-Generation Antipsychotic Drugs,August 2013,0,0,1
13888,897111000001104,78913020,3882,Zyprexa 10mg Velotabs (Eli Lilly and Company Ltd),Olanzapine,10mg,Oral lyophilisate,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2009,0,0,1
14344,406786007,88666020,302280,Aripiprazole 5mg tablets,Aripiprazole,5mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
86929,30664911000001108,54015021,1,Aripiprazole 5mg tablets (Aspire Pharma Ltd),Aripiprazole,5mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,October 2022,0,0,1
64778,21714411000001104,46920020,2037,Sondate XL 150mg tablets (Teva UK Ltd),Quetiapine fumarate,150mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,November 2015,0,0,1
2787,321592008,49489020,250623,Risperidone 4mg tablets,Risperidone,4mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
85613,19859711000001108,39301020,1,Risperdal 500microgram tablets (Lexon (UK) Ltd),Risperidone,500microgram,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2022,0,0,1
47233,8838911000001102,88804020,243,Zaponex 25mg tablets (Leyden Delta B.V.),Clozapine,25mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,May 2012,0,0,1
47832,13120611000001100,74927020,47,Risperidone 500microgram tablets (A A H Pharmaceuticals Ltd),Risperidone,500microgram,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,September 2012,0,0,1
46556,19223811000001108,99843020,3463,Paliperidone 75mg/0.75ml prolonged-release suspension for injection pre-filled syringes,Paliperidone palmitate,100mg/1ml,Prolonged-release suspension for injection,Intramuscular,04020200,Antipsychotic Depot Injections,December 2011,0,0,1
76933,21204711000001104,44476020,488,Risperdal Consta 25mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc),Risperidone,25mg,Powder and solvent for suspension for injection,Intramuscular,04020102,Second-Generation Antipsychotic Drugs,July 2019,0,0,1
2786,321599004,49491020,54978,Risperidone 6mg tablets,Risperidone,6mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
87485,8923011000001100,69298020,0,Amisulpride 100mg tablets (A A H Pharmaceuticals Ltd),Amisulpride,100mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,January 2023,0,0,1
83744,35657411000001104,81740021,18,Quetiapine 25mg tablets (Krka UK Ltd),Quetiapine fumarate,25mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,April 2021,0,0,1
63494,13375311000001106,21135020,12,Risperidone 500microgram orodispersible tablets sugar free (A A H Pharmaceuticals Ltd),Risperidone,500microgram,Orodispersible tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,June 2015,0,0,1
5040,39703111000001104,85207020,346984,Quetiapine 150mg tablets,Quetiapine fumarate,150mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
86048,38758911000001104,93936021,0,Aripiprazole 10mg tablets (Bristol Laboratories Ltd),Aripiprazole,10mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,April 2022,0,0,1
84756,19610111000001100,00593021,1,Zalasta 15mg orodispersible tablets (Krka UK Ltd),Olanzapine,15mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,October 2021,0,0,1
23431,5818311000001104,87556020,23,Olanzapine 10mg powder for solution for injection vials,Olanzapine,10mg,Powder for solution for injection,Intramuscular,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2009,0,0,1
63797,28411711000001108,44746021,9020,Zaluron XL 150mg tablets (Fontus Health Ltd),Quetiapine fumarate,150mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2015,0,0,1
44024,17828611000001100,98873020,48054,Quetiapine 150mg modified-release tablets,Quetiapine fumarate,150mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,December 2010,0,0,1
46677,12873011000001100,74786020,38,Risperidone 500microgram tablets (Actavis UK Ltd),Risperidone,500microgram,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,January 2012,0,0,1
72753,16234611000001102,03512020,0,Risperdal 1mg/ml oral solution (Lexon (UK) Ltd),Risperidone,1mg/1ml,Oral solution,Oral,04020102,Second-Generation Antipsychotic Drugs,August 2018,0,0,1
16986,4039211000001101,81545020,3337,Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd),Risperidone,1mg,Orodispersible tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
70433,32868111000001104,69853021,182,Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd),Paliperidone palmitate,200mg/1ml,Prolonged-release suspension for injection,Intramuscular,04020200,Antipsychotic Depot Injections,October 2017,0,0,1
55870,251645001000027100,95125020,46,Quetiapine oral liquid,Quetiapine Fumarate,,,,04020100,Antipsychotic Products,August 2013,0,0,1
63389,28411511000001104,44733021,28274,Zaluron XL 50mg tablets (Fontus Health Ltd),Quetiapine fumarate,50mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,June 2015,0,0,1
12666,4748511000001107,82827020,287,Sertindole 4mg tablets,Sertindole,4mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
77072,18507811000001100,03445020,2,Risperidone 1mg tablets (Almus Pharmaceuticals Ltd),Risperidone,1mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2019,0,0,1
77606,11749311000001100,93745020,55,Invega 3mg modified-release tablets (Janssen-Cilag Ltd),Paliperidone,3mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,August 2019,0,0,1
57612,16243111000001108,11075020,26,Seroquel XL 400mg tablets (Lexon (UK) Ltd),Quetiapine fumarate,400mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,October 2013,0,0,1
58854,19558611000001108,78187020,16,Olanzapine 10mg tablets (Actavis UK Ltd),Olanzapine,10mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,February 2014,0,0,1
49696,13012211000001100,33610020,276,Quetiapine 25mg/5ml oral solution,Quetiapine fumarate,5mg/1ml,Oral solution,Oral,04020102,Second-Generation Antipsychotic Drugs,January 2013,0,0,1
77027,21882311000001104,47251020,111,Risperidone 2mg tablets (Waymade Healthcare Plc),Risperidone,2mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,July 2019,0,0,1
66427,21286911000001104,45159020,0,Quetiapine 25mg tablets (Accord-UK Ltd),Quetiapine fumarate,25mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,June 2016,0,0,1
6573,406788008,87946020,254951,Aripiprazole 15mg tablets,Aripiprazole,15mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
55667,19559411000001104,78190020,11,Olanzapine 15mg tablets (Actavis UK Ltd),Olanzapine,15mg,Tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,June 2013,0,0,1
41702,7835611000001106,68222020,3,Amisulpride 100mg tablets (Zentiva Pharma UK Ltd),Amisulpride,100mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,March 2010,0,0,1
62531,27842811000001100,31406021,54,Atrolak XL 400mg tablets (Accord-UK Ltd),Quetiapine fumarate,400mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,March 2015,0,0,1
42242,15506311000001100,97153020,207,Clozapine 50mg/ml oral suspension sugar free,Clozapine,50mg/1ml,Oral suspension,Oral,04020102,Second-Generation Antipsychotic Drugs,May 2010,0,0,1
70219,19623611000001108,78317020,80,Olanzapine 5mg orodispersible tablets (Teva UK Ltd),Olanzapine,5mg,Orodispersible tablet,Oral,04020102/04020300,Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania,September 2017,0,0,1
84004,35179511000001104,79854021,1,Quetiapine 300mg tablets (Milpharm Ltd),Quetiapine fumarate,300mg,Tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,June 2021,0,0,1
5262,343311000001101,73799020,10287,Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd),Risperidone,1mg/1ml,Oral solution,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2009,0,0,1
58936,21248811000001108,44916020,19,Tenprolide XL 50mg tablets (Actavis UK Ltd),Quetiapine fumarate,50mg,Modified-release tablet,Oral,04020102,Second-Generation Antipsychotic Drugs,February 2014,0,0,1
