prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,vdd_code
87601,40377411000001104,01213022,12,A1-Cal D3 500mg/400unit chewable tablets (TriOn Pharma Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,February 2023,1
64478,29748511000001108,52535021,4369,"Fultium-D3 2,740units/ml oral drops (Internis Pharmaceuticals Ltd)",Colecalciferol,2740unit/1ml,Oral drops,Oral,09060400,Vitamin D,October 2015,1
63878,28109511000001100,42974021,1,"Colecalciferol 1,000unit tablets (Colorama Pharmaceuticals Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,July 2015,1
81888,37038311000001104,87058021,608,SunVit-D3 400unit with Calcium 600mg chewable tablets lemon (SunVit-D3 Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,October 2020,1
71220,34477311000001108,77030021,5,"SunVit-D3 15,000units/5ml oral solution (SunVit-D3 Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,January 2018,1
63379,28881211000001108,46621021,2569,"Colecalciferol 2,400units/ml oral drops sugar free",Colecalciferol,2400unit/1ml,Oral drops,Oral,09060400,Vitamin D,June 2015,1
69724,32848211000001100,70261021,111,ColeKal-D3 800unit tablets (Essential-Healthcare Ltd),Colecalciferol,800unit,Tablet,Oral,09060400,Vitamin D,June 2017,1
54908,21716211000001108,46907020,133,"NphD3 3,000units/ml oral solution (Northwick Park Hospital Specials)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,May 2013,1
71617,34878111000001104,78703021,886,"Colecalciferol 1,000units/ml oral drops sugar free",Colecalciferol,1000unit/1ml,Oral drops,Oral,09060400,Vitamin D,February 2018,1
70718,34604311000001108,77355021,74,Natures Aid Vitamin D3 400units/ml for infants and children oral drops (Natures Aid Ltd),Colecalciferol,400unit/1ml,Oral drops,Oral,09060400,Vitamin D,November 2017,1
85901,40209711000001104,00238022,16,Prohealth Vitamin D3 10micrograms/ml (400units/ml) oral drops (Pro Health Solutions Ltd),Colecalciferol,400unit/1ml,Oral drops,Oral,09060400,Vitamin D,April 2022,1
60582,11815911000001108,30082020,5,"Colecalciferol 20,000units/5ml oral suspension",Colecalciferol,4000unit/1ml,Oral suspension,Oral,09060400,Vitamin D,July 2014,1
65856,4349711000001105,13990020,4,Generic Minadex tonic,Vitamin A/Manganese sulfate/Colecalciferol/Copper sulfate/Calcium glycerophosphate/Potassium glycerophosphate/Iron,130unit/1ml + 76microgram/1ml + 13unit/1ml + 100microgram/1ml + 2.25mg/1ml + 225microgram/1ml + 2.4mg/1ml,Oral emulsion,Oral,09040251,Nutritional Supplements,April 2016,1
71827,21015611000001100,44098020,3,"E-D3 1,000unit capsules (Ennogen Healthcare Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,April 2018,1
66485,16182011000001108,21620020,0,Fosavance tablets (Lexon (UK) Ltd),Colecalciferol/Alendronate sodium,70microgram + 70mg,Tablet,Oral,06060200,Bisphosphonates And Other Drugs Affecting Bone Metabolism,June 2016,1
69404,34022411000001108,73997021,150938,InVita D3 800unit capsules (Forum Health Products Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,May 2017,1
70354,32850111000001108,70264021,28,"ColeKal-D3 3,200unit capsules (Essential-Healthcare Ltd)",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,October 2017,1
6843,4253011000001104,60245020,34125,Colecalciferol 800unit / Calcium phosphate 3.1g oral powder sachets,Colecalciferol/Calcium phosphate,800unit + 3.1gram,Powder,Oral,06060000/09060400,Products Affecting Bone Metabolism/Vitamin D,February 2009,1
49935,17313011000001104,37356020,1436,Colecalciferol 600unit capsules,Colecalciferol,600unit,Capsule,Oral,09060400,Vitamin D,January 2013,1
69868,34239711000001100,75886021,12165,"InVita D3 50,000unit capsules (Consilient Health Ltd)",Colecalciferol,50000unit,Capsule,Oral,09060400,Vitamin D,July 2017,1
54612,21254811000001104,45109020,3,"Aciferol D3 2,000units/ml liquid (Fontus Health Ltd)",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,April 2013,1
58999,23637711000001108,21279021,3532,"Colecalciferol 2,000unit tablets",Colecalciferol,2000unit,Tablet,Oral,09060400,Vitamin D,March 2014,1
44901,16073211000001104,99287020,9883,"Colecalciferol 50,000unit capsules",Colecalciferol,50000unit,Capsule,Oral,09060400,Vitamin D,April 2011,1
55504,21939411000001104,47925020,4451,"Colecalciferol 40,000unit capsules",Colecalciferol,40000unit,Capsule,Oral,09060400,Vitamin D,June 2013,1
15209,4917911000001100,81338020,148,Crampex tablets (Thornton & Ross Ltd),Colecalciferol/Calcium gluconate/Nicotinic acid,20microgram + 200mg + 20mg,Tablet,Oral,10020202,Other Muscle Relaxants,February 2009,1
66627,528811000001101,08002020,1017,Calceos chewable tablets (Provalis Healthcare Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,July 2016,1
58101,22490711000001108,15927021,21,"Nature's Remedy Vitamin D3 5,000unit tablets (Nature's Remedy Ltd)",Colecalciferol,5000unit,Tablet,Oral,09060400,Vitamin D,December 2013,1
78309,13604411000001100,21386020,1,Natures Aid High Strength Cod Liver Oil 1000mg softgels capsules (Natures Aid Ltd),Cod liver oil/Retinol/Colecalciferol,1gram +  + ,Capsule,Oral,09040251,Nutritional Supplements,November 2019,1
14077,4170711000001105,84594020,23190,Vivioptal capsules (Bausch & Lomb UK Ltd),Adenosine/Sodium molybdate anhydrous/Biotin/Colecalciferol/Choline hydrogen tartrate/Cobaltous sulfate monohydrate/Copper sulfate monohydrate/Cyanocobalamin/Dexpanthenol/L-Lysine monohydrochloride/Calcium hydrogen phosphate anhydrous/Ferrous sulfate dried/Folic acid/Magnesium glycerophosphate/Inositol/Lecithin/Ethyl linoleate/Manganese sulfate monohydrate/Nicotinamide/Orotic acid anhydrous/Potassium sulfate/Pyridoxine hydrochloride/Riboflavin/Rutoside/Thiamine nitrate/Vitamin A palmitate/Calcium ascorbate/Alpha tocopheryl acetate/Zinc oxide,750microgram + 80microgram + 50microgram + 400unit + 50mg + 100microgram + 500microgram + 3microgram + 10mg + 25mg + 35mg + 10mg + 400microgram + 40mg + 30mg + 60mg + 28mg + 500microgram + 25mg + 30mg + 8mg + 6.08mg + 3mg + 20mg + 5mg + 5000unit + 60mg + 10mg + 500microgram,Capsule,Oral,09060700,Multivitamin And Multimineral Preparations,February 2009,1
47182,19199911000001108,00647021,2761,"Colecalciferol 2,500unit capsules",Colecalciferol,2500unit,Capsule,Oral,09060400,Vitamin D,May 2012,1
56660,15646611000001106,21399020,86,Valupak Cod Liver Oil High Strength 550mg capsules (BR Pharmaceuticals Ltd),Cod liver oil/Retinol/Colecalciferol,550mg +  + ,Capsule,Oral,09040251,Nutritional Supplements,August 2013,1
55528,22013511000001100,47984020,1630,Kalcipos-D 500mg/800unit tablets (Meda Pharmaceuticals Ltd),Colecalciferol/Calcium carbonate,800unit + 1.25gram,Tablet,Oral,09060400,Vitamin D,June 2013,1
2112,41925001000027104,53262020,1728528,Calcichew-d3 Chewable tablet (Shire Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.25gram + 400unit,Chewable tablet,Oral,09050101/09060400,Calcium Supplements/Vitamin D,February 2009,1
78040,22778911000001108,17275021,17,"E-D3 10,000units/ml oral solution (Ennogen Healthcare Ltd)",Colecalciferol,10000unit/1ml,Oral solution,Oral,09060400,Vitamin D,September 2019,1
54995,21716911000001104,46909020,44,"ColeVit D3 3,000units/ml oral solution (Sterling Pharmaceuticals Ltd)",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,May 2013,1
62857,23524211000001100,20678021,223,HealthAid Vitamin D3 200units/drop oral drops (HealthAid Ltd),Colecalciferol,200unit/1drop,Oral drops,Oral,09060400,Vitamin D,April 2015,1
56123,21905011000001104,47926020,435,"Plenachol 40,000unit capsules (D3 Pharma)",Colecalciferol,40000unit,Capsule,Oral,09060400,Vitamin D,August 2013,1
73576,10694311000001108,77029021,52,"Colecalciferol 15,000units/5ml oral solution sugar free",Colecalciferol,3000unit/1ml,Oral solution,Oral,09060400,Vitamin D,November 2018,1
84158,39411211000001104,97612021,66,"SunVit-D3 25,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,25000unit,Capsule,Oral,09060400,Vitamin D,July 2021,1
63225,23629111000001104,21280021,9,"Vitamin D3 + Isoflavones 2,000unit tablets (Nutri Advanced Ltd)",Colecalciferol,2000unit,Tablet,Oral,09060400,Vitamin D,May 2015,1
4753,41983711000001104,60073020,326655,Colecalciferol 200unit / Calcium carbonate 1.25g chewable tablets,Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,February 2009,1
74152,35437011000001100,81629021,1955,"SunVit-D3 1,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,1000unit,Capsule,Oral,09060400,Vitamin D,December 2018,1
69731,33581211000001104,71247021,332,SunVit-D3 400unit tablets (SunVit-D3 Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,June 2017,1
