prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
35317,2624,92769020,Exforge 5mg/80mg tablets (Novartis Pharmaceuticals UK Ltd),Valsartan/Amlodipine besilate,80mg + 5mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
20459,235,87085020,Felendil xl 10mg Modified-release tablet (Ratiopharm UK Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
29145,188,91113020,Felendil xl 2.5mg Modified-release tablet (Ratiopharm UK Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
10153,310,87083020,Felendil xl 5mg Modified-release tablet (Ratiopharm UK Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
32922,31,68176020,Felodipine 10mg Modified-release tablet (Sandoz Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
568,1483107,52180020,Felodipine 10mg modified-release tablets,Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
33091,114,66476020,Felodipine 10mg modified-release tablets (A A H Pharmaceuticals Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
64760,0,21736021,Felodipine 10mg modified-release tablets (Phoenix Healthcare Distribution Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,November 2015
64917,0,20171021,Felodipine 10mg modified-release tablets (Waymade Healthcare Plc),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,December 2015
21162,1498,78451020,Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets,Felodipine/Ramipril,2.5mg + 2.5mg,Modified-release tablet,Oral,02050501/02060200,Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers,February 2009
491,1388093,52181020,Felodipine 2.5mg modified-release tablets,Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
64474,3,73487020,Felodipine 2.5mg modified-release tablets (A A H Pharmaceuticals Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,October 2015
66910,0,57274021,Felodipine 2.5mg modified-release tablets (DE Pharmaceuticals),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,July 2016
60884,0,21738021,Felodipine 2.5mg modified-release tablets (Phoenix Healthcare Distribution Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,August 2014
64719,0,52190021,Felodipine 2.5mg modified-release tablets (Sigma Pharmaceuticals Plc),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,November 2015
60569,0,20172021,Felodipine 2.5mg modified-release tablets (Waymade Healthcare Plc),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,July 2014
69206,17,37681020,Felodipine 2.5mg/5ml oral solution,Felodipine,500microgram/1ml,Oral solution,Oral,02060200,Calcium-channel Blockers,April 2017
17474,11117,78452020,Felodipine 5mg modified-release / Ramipril 5mg tablets,Felodipine/Ramipril,5mg + 5mg,Modified-release tablet,Oral,02050501/02060200,Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers,February 2009
48009,0,68173020,Felodipine 5mg Modified-release tablet (Sandoz Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,November 2012
501,2307237,52179020,Felodipine 5mg modified-release tablets,Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
43512,78,66473020,Felodipine 5mg modified-release tablets (A A H Pharmaceuticals Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,September 2010
68828,0,21735021,Felodipine 5mg modified-release tablets (DE Pharmaceuticals),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2017
66095,0,53318021,Felodipine 5mg modified-release tablets (Mawdsley-Brooks & Company Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,May 2016
