prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
7853,84025,69193020,Timolol 10mg tablets,Timolol maleate,10mg,Tablet,Oral,02040000/04070402,Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine,February 2009
8788,4915,03217007,TIMOLOL 10MG/BENDROFLUAZIDE 2.5MG TAB,,,,,00000000,Unknown,February 2009
25730,224,69274020,Timolol maleate with amiloride and hydrochlorothiazide Tablet,Timolol Maleate/Amiloride Hydrochloride/Hydrochlorothiazide,,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
12517,96,67082020,Timolol maleate with bendroflumethiazide 20mg + 5mg Tablet,Timolol Maleate/Bendroflumethiazide,20mg + 5mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
15042,780,66704020,Tolerzide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),Sotalol Hydrochloride/Hydrochlorothiazide,,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
15730,1216,72692020,Totamol 100mg Tablet (C P Pharmaceuticals Ltd),Atenolol,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
18950,589,72693020,Totamol 25mg Tablet (C P Pharmaceuticals Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
15176,2524,72691020,Totamol 50mg Tablet (C P Pharmaceuticals Ltd),Atenolol,50mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
24280,16,80150020,Totaretic 100mg+25mg Tablet (C P Pharmaceuticals Ltd),Atenolol/Chlortalidone,100mg + 25mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
26741,82,80149020,Totaretic 50mg+12.5mg Tablet (C P Pharmaceuticals Ltd),Atenolol/Chlortalidone,50mg + 12.5mg,Tablet,Oral,02020100/02040000,Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs,February 2009
9016,31173,54880020,Trandate 100mg tablets (Focus Pharmaceuticals Ltd),Labetalol hydrochloride,100mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
19998,27,51987020,Trandate 100mg/20ml solution for injection ampoules (Focus Pharmaceuticals Ltd),Labetalol hydrochloride,5mg/1ml,Solution for injection,Intravenous,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
