medcode,readcode,readterm,incident
27977,NA,other acute and subacute ischaemic heart disease nos,NA
28138,NA,other chronic ischaemic heart disease,NA
28554,NA,angina pectoris nos,NA
28736,NA,acute atrial infarction,NA
28837,NA,creation of bypass from mammary artery to coronary artery,NA
29300,NA,angina control - worsening,NA
29421,NA,silent myocardial ischaemia,NA
29902,NA,angina decubitus nos,NA
30171,NA,other forms of heart disease,NA
30963,NA,suspected ischaemic heart disease,NA
31519,NA,double implant of mammary arteries into coronary arteries,NA
31540,NA,revision of bypass for three coronary arteries,NA
31556,NA,allograft replacement of coronary artery,NA
32450,NA,ischaemic chest pain,NA
32526,NA,h/o: heart disease nos,NA
32651,NA,allograft bypass of coronary artery,NA
33461,NA,revision of bypass for coronary artery,NA
33471,NA,other bypass of coronary artery nos,NA
33718,NA,double anastomosis of mammary arteries to coronary arteries,NA
33735,NA,percut translum balloon angioplasty mult coronary arteries,NA
34207,NA,Coronary heart disease monitoring 2nd letter,NA
34328,NA,refractory angina,NA
34329,NA,Coronary heart disease monitoring 3rd letter,NA
34633,NA,other specified chronic ischaemic heart disease,NA
34952,NA,ecg: q wave,NA
34963,NA,other bypass of coronary artery,NA
35277,NA,Refuses coronary heart disease monitoring,NA
35287,NA,ecg: myocardial ischaemia nos,NA
35373,NA,Attends coronary heart disease monitoring,NA
35382,NA,angiocardiography abnormal,NA
35713,NA,other specified chronic ischaemic heart disease nos,NA
36011,NA,prosthetic bypass of coronary artery,NA
36193,NA,other specified heart disease,NA
36523,NA,preinfarction syndrome,NA
36609,NA,atherosclerotic cardiovascular disease,NA
36854,NA,coronary artery spasm,NA
37682,NA,connection of mammary artery to coronary artery,NA
37719,NA,connection of mammary artery to coronary artery os,NA
37908,NA,Coronary heart disease monitoring verbal invitation,NA
37990,NA,Cardiac rehabilitation - phase 1,NA
37991,NA,Cardiac rehabilitation - phase 2,NA
38813,NA,rotary blade angioplasty,NA
39449,NA,coronary thrombosis not resulting in myocardial infarction,NA
39500,NA,Coronary heart disease monitoring check done,NA
39546,NA,[x]other forms of angina pectoris,NA
39655,NA,impending infarction,NA
39693,NA,subendocardial ischaemia,NA
41032,NA,Cardiac rehabilitation - phase 3,NA
41179,NA,Other ill-defined heart disease NOS,NA
41547,NA,transluminal balloon angioplasty of coronary artery os,NA
41677,NA,Aneurysm of heart NOS,NA
42104,NA,ecg: s-t depression,NA
42304,NA,insertion of drug-eluting coronary artery stent,NA
42462,NA,percut translum balloon angioplasty bypass graft coronary a,NA
42708,NA,autograft replacement of four of more coronary arteries nec,NA
