prodcode,productname
15368,Zoledronic acid 4mg/5ml solution for infusion vials
30987,Zometa 4mg/5ml solution for infusion vials (Novartis Pharmaceuticals UK Ltd)
36400,Aclasta 5mg/100ml infusion bottles (Novartis Pharmaceuticals UK Ltd)
36399,Zoledronic acid 5mg/100ml infusion bottles
61338,Zoledronic acid 4mg/5ml concentrate for solution for infusion vials (Dr Reddy's Laboratories (UK) Ltd)
46982,Zoledronic acid 4mg/100ml infusion bottles
47866,Zometa 4mg/100ml infusion bottles (Novartis Pharmaceuticals UK Ltd)
60022,Zoledronic acid 5mg/100ml solution for infusion vials
64122,Zoledronic acid 5mg/100ml infusion bags
61044,Zoledronic acid 4mg/5ml concentrate for solution for infusion vials (medac UK)
65192,Zoledronic acid 4mg/100ml infusion bags
60644,Zoledronic acid 4mg/100ml solution for infusion vials
63043,Zoledronic acid 4mg/5ml concentrate for solution for infusion vials (Sandoz Ltd)
68625,Zoledronic acid 5mg/100ml solution for infusion vials (Dr Reddy's Laboratories (UK) Ltd)
62240,Zoledronic acid 4mg/5ml concentrate for solution for infusion vials (Intrapharm Laboratories Ltd)
70932,Zoledronic acid 4mg/5ml concentrate for solution for infusion vials (Accord Healthcare Ltd)
59494,Zoledronic acid 4mg/5ml solution for infusion vials (Actavis UK Ltd)
65160,Zoledronic acid 4mg/5ml concentrate for solution for infusion vials (Pfizer Ltd)
71279,Zoledronic acid 4mg/5ml concentrate for solution for infusion vials (Peckforton Pharmaceuticals Ltd)
63400,Zoledronic acid 4mg/100ml infusion bottles (medac UK)
